"name","age","hometown","boarded","destination","lifeboat","body","class","home_country","Lifeboat","Destination","Boarded","survival_outcome","position","crew_type","crew","sex","age_character","household_assistant_type","household_assistant","household_assistant_to_whom"
"Allen, Miss Elizabeth Walton",29,"St. Louis, Missouri, US","Southampton","St. Louis, Missouri, US","2",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Allison, Mr. Hudson Joshua Creighton",30,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,"135","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"and chauffeur, Mr. George Swane,",19,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,"294","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19","chauffeur","Assistant","Allison, Mr. Hudson Joshua Creighton"
"and cook, Miss Amelia Mary ""Mildred"" Brown",18,"London, England, UK","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","18","cook","Assistant","Allison, Mr. Hudson Joshua Creighton"
"Allison, Mrs. Bessie Waldo (née Daniels)",25,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","25",NA,"Not Assistant",NA
"and maid, Miss Sarah Daniels",33,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","33","maid","Assistant","Allison, Mrs. Bessie Waldo (née Daniels)"
"Allison, Miss Helen Loraine",2,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","2",NA,"Not Assistant",NA
"Allison, Master Hudson Trevor",0,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","11 mo.",NA,"Not Assistant",NA
"and nurse, Miss Alice Catherine Cleaver",22,"London, England, UK","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22","nurse","Assistant","Allison, Master Hudson Trevor"
"Anderson, Mr. Harry",47,"New York City, New York, US","Southampton","New York City, New York, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","47",NA,"Not Assistant",NA
"Andrews, Miss Kornelia Theodosia",62,"Hudson, New York, US","Cherbourg","Hudson, New York, US","10",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","62",NA,"Not Assistant",NA
"Andrews, Mr. Thomas",39,"Belfast, Ireland","Belfast","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished","Shipbuilder","Guarantee group","Crew","Male","39",NA,"Not Assistant",NA
"Appleton, Mrs. Charlotte Lane (née Lamson)",53,"New York City","Southampton","New York City","2",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","53",NA,"Not Assistant",NA
"Artagaveytia, Mr. Ramon",71,"Buenos Aires, Argentina","Cherbourg","New York City",NA,"22","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","71",NA,"Not Assistant",NA
"Astor, Colonel John Jacob IV",47,"New York City","Cherbourg","New York City",NA,"124","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","47",NA,"Not Assistant",NA
"Astor, Mrs. Madeleine Talmage (née Force)",18,"New York City","Cherbourg","New York City","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","18",NA,"Not Assistant",NA
"and maid, Miss Rosalie Bidois",46,"New York City","Cherbourg","New York City","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","46","maid","Assistant","Astor, Mrs. Madeleine Talmage (née Force)"
"and nurse, Miss Caroline Louise Endres",39,"New York City","Cherbourg","New York City","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","39","nurse","Assistant","Astor, Mrs. Madeleine Talmage (née Force)"
"Aubart, Mrs. Léontine Pauline",24,"Paris, France","Cherbourg","New York City","9",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"and maid, Miss Emma Sägesser",24,"Paris, France","Cherbourg","New York City","9",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24","maid","Assistant","Aubart, Mrs. Léontine Pauline"
"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK","Southampton","New York City","B",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","47",NA,"Not Assistant",NA
"Baumann, Mr. John D.",60,"New York City","Cherbourg","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","60",NA,"Not Assistant",NA
"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","50",NA,"Not Assistant",NA
"Baxter, Mr. Quigg Edmond",24,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Beattie, Mr. Thomson",36,"Fergus, Ontario, Canada","Southampton","Fergus, Ontario, Canada","A","331","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
