"name","age","hometown","boarded","destination","lifeboat","body","class","homecountry","survivaloutcome","position","crew","sex","agecharacter"
"Allen, Miss Elizabeth Walton",29,"St. Louis, Missouri, US","Southampton","St. Louis, Missouri, US","2",NA,"First",NA,"Survived",NA,"Not Crew","Female","29"
"Allison, Mr. Hudson Joshua Creighton",30,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,"135","First",NA,"Perished",NA,"Not Crew","Male","30"
"and chauffeur, Mr. George Swane,",19,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,"294","First",NA,"Perished",NA,"Not Crew","Male","19"
"and cook, Miss Amelia Mary ""Mildred"" Brown",18,"London, England, UK","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,"Survived",NA,"Not Crew","Female","18"
"Allison, Mrs. Bessie Waldo (née Daniels)",25,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Female","25"
"and maid, Miss Sarah Daniels",33,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","33"
"Allison, Miss Helen Loraine",2,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Female","2"
"Allison, Master Hudson Trevor",0,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,"Survived",NA,"Not Crew","Male","11 mo."
"and nurse, Miss Alice Catherine Cleaver",22,"London, England, UK","Southampton","Montreal, Quebec, Canada","11",NA,"First",NA,"Survived",NA,"Not Crew","Female","22"
"Anderson, Mr. Harry",47,"New York City, New York, US","Southampton","New York City, New York, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","47"
"Andrews, Miss Kornelia Theodosia",62,"Hudson, New York, US","Cherbourg","Hudson, New York, US","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","62"
"Andrews, Mr. Thomas",39,"Belfast, Ireland","Belfast","New York City",NA,NA,"First",NA,"Perished","Shipbuilder","Crew","Male","39"
"Appleton, Mrs. Charlotte Lane (née Lamson)",53,"New York City","Southampton","New York City","2",NA,"First",NA,"Survived",NA,"Not Crew","Female","53"
"Artagaveytia, Mr. Ramon",71,"Buenos Aires, Argentina","Cherbourg","New York City",NA,"22","First",NA,"Perished",NA,"Not Crew","Male","71"
"Astor, Colonel John Jacob IV",47,"New York City","Cherbourg","New York City",NA,"124","First",NA,"Perished",NA,"Not Crew","Male","47"
"Astor, Mrs. Madeleine Talmage (née Force)",18,"New York City","Cherbourg","New York City","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","18"
"and maid, Miss Rosalie Bidois",46,"New York City","Cherbourg","New York City","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","46"
